seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
114,15,both_bounds,,0.058,0.059,0.05851782558985552,all,0.05,0.05,0.05,327.1598279476166,0.9834645669291339,0.97578125,0.9796078431372549,3,success,
28998,15,both_bounds,,0.058,0.059,0.05882964348820289,standart,,,,11.840106964111328,0.28640776699029125,0.2825219473264166,0.284451586982724,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,sink_states_and_parallel_edges,,0.05,0.05,1121.581433057785,0.001584786053882726,0.0016420361247947454,0.0016129032258064516,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,sink_states_and_parallel_edges,,0.05,0.05,1300.3826999664307,0.996781979082864,0.9848966613672496,0.9908036785285885,3,success,
28998,15,both_bounds,,0.058,0.059,0.05882964348820289,self_loops,0.05,,,158.64674592018127,1.0,0.9936153232242618,0.9967974379503602,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,all,0.05,0.05,0.05,333.4849729537964,0.9841521394611727,0.9680436477007015,0.9760314341846759,3,success,
69007,15,both_bounds,,0.059,0.06,0.05910681495340055,standart,,,,56.53485107421875,0.9853420195439739,0.9845402766476811,0.9849409849409849,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,all,0.05,0.05,0.05,517.4714450836182,0.9517022961203484,0.9772357723577236,0.9643000401123145,3,success,
162,15,both_bounds,,0.059,0.06,0.05902597327605123,standart,,,,4.950882911682129,0.2739273927392739,0.2686084142394822,0.27124183006535946,3,success,
69007,15,both_bounds,,0.059,0.06,0.05910681495340055,self_loops,0.05,,,69.29784488677979,1.0,0.9983726606997559,0.999185667752443,3,success,
162,15,both_bounds,,0.059,0.06,0.05902597327605123,self_loops,0.05,,,125.35546898841858,0.9596518987341772,0.9813915857605178,0.9704,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,sink_states_and_parallel_edges,,0.05,0.05,2215.881546974182,0.0016090104585679806,0.0016406890894175555,0.0016246953696181965,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,all,0.05,0.05,0.05,626.0022518634796,1.0,0.9975369458128078,0.998766954377312,3,success,
31055,15,both_bounds,,0.058,0.059,0.058725704188753766,standart,,,,46.359710931777954,0.9936507936507937,0.9920760697305864,0.992862807295797,3,success,
31055,15,both_bounds,,0.058,0.059,0.058725704188753766,self_loops,0.05,,,123.57012701034546,0.9763593380614657,0.9817749603803486,0.9790596602133544,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,all,0.05,0.05,0.05,362.8709661960602,0.9830234438156831,0.9975389663658737,0.990228013029316,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,sink_states_and_parallel_edges,,0.05,0.05,990.2204220294952,0.9943955164131305,0.9833729216152018,0.9888535031847133,3,success,
8938,15,both_bounds,,0.059,0.06,0.0593493399854485,standart,,,,9.885730981826782,0.9818631492168178,0.9859271523178808,0.9838909541511772,3,success,
8938,15,both_bounds,,0.059,0.06,0.0593493399854485,self_loops,0.05,,,105.43836998939514,1.0,1.0,1.0,3,success,
69007,15,both_bounds,,0.059,0.06,0.05910681495340055,sink_states,,0.05,,788.4521729946136,0.24127465857359637,0.25874694873881204,0.2497055359246172,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,sink_states_and_parallel_edges,,0.05,0.05,2019.5431220531464,0.9944178628389154,0.9849921011058452,0.9896825396825397,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,all,0.05,0.05,0.05,334.2830741405487,1.0,0.9960411718131433,0.9980166600555335,3,success,
11298,15,both_bounds,,0.058,0.059,0.05857556964510504,standart,,,,11.11129903793335,0.9936658749010293,0.984313725490196,0.9889676910953507,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,sink_states_and_parallel_edges,,0.05,0.05,2062.8340377807617,0.9861644888547272,0.9907335907335907,0.9884437596302003,3,success,
162,15,both_bounds,,0.059,0.06,0.05902597327605123,sink_states,,0.05,,883.2090790271759,0.0,0.0,0.0,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,all,0.05,0.05,0.05,1279.0829269886017,0.9839871897518014,0.9769475357710652,0.9804547267650578,3,success,
11298,15,both_bounds,,0.058,0.059,0.05857556964510504,self_loops,0.05,,,137.52370595932007,1.0,0.9921568627450981,0.9960629921259843,3,success,
3075,15,both_bounds,,0.058,0.059,0.05847163034565592,standart,,,,31.68923592567444,0.9913522012578616,0.9820872274143302,0.986697965571205,3,success,
59934,15,both_bounds,,0.058,0.059,0.05821755650255806,sink_states,,0.05,,1597.3983800411224,0.0,0.0,0.0,3,success,
28998,15,both_bounds,,0.058,0.059,0.05882964348820289,sink_states,,0.05,,1379.56401014328,0.005686433793663688,0.00558659217877095,0.005636070853462158,3,success,
3075,15,both_bounds,,0.058,0.059,0.05847163034565592,self_loops,0.05,,,118.93464279174805,1.0,1.0,1.0,3,success,
